Alcatraz,Freedom
Smoke,Air
Hazelnut,Walnut
Diamond,Graphite
Rose,Stone
Puppet,Human
Game,Reality
Vegas,Lancaster
Chest,Bottom
Airplane,Ship
Cord,Wireless
Australia,Greenland
Castle,Hut
Guard,Attacker
Sheep,Wolf
Fleece,
Mouse,Elephant
Chain,
Farm,Factory
Belgium,Netherlands
Pepper,Salt
Triangle,Circle
Doll,Baby
Italy,Germany
Stage,Street
Heart,Soul
Moscow,Wladiwostok
Billiards,Darts
Unicorn,Cow
Orange,Blue
Tokyo,Village
Heel,Toes
Chicken,Hen
Helicopter,Plane
Officer,Criminal
Melon,Raisin
Anchor,Guest
Israel,Palestine
Cactus,Desert
Tennis,Golf
France,Germany
Moon,Sun
Canteen,Restaurant
Emperor penguin,Eagle
Tool,Art
Brain,Heart
Mask,
Concert,Cinema
Troy,Greece
Shark,Dolphin
Music,Pictures
Neck,ankle
America,Europe
Coffee,Tee
Fever,Healthy
Barbie,Ken
Chocolate,Chilli
Snow,Sand
Tie,
Wind,Calm
Thought,ignorance
Frankenstein,Human
Beam,Blacken
Accent,
Shower,Bath
Ladybird,Caterpillar
Mustard,Ketchup
Sherlock,Watson
Bottle,Can
Virus,Bacteria
Poison,Medicine
Star,Planet
Wolf,Sheep
Lena,Lothar
Birthday,Christmas
Baker,Butcher
Perfume,Stink
Flame,Water
Zombie,Human
Joker,Batman
Buffy,Vampires
Volcano,glacier
Passion,Unenthusiastic
Cock,Hen
Electricity,Mechanical
Genius,Stupid
Dracula,Garlic
Lion,Tiger
Sock,Shoes
Friday,Monday
Pirate,Seapolice
Holidays,Work
Fairy,Witch
Magnet,repulsion
Fork,Spoon
Syrup,Water
Forest,Wasteland
Scale,roughly
Zeus,Hades
Cockroach,Oggy
Dinosaur,Mammals
Yellow,Purple
Mushroom,Fungus
Pigeon,Eagle
Pikachu,Marshadow
Asterix,Cesar
Robots,Human
Comedy,
Language,silence
Hairdresser,Manicure
Cocktail,Barbecue
Mario,Bowser
Cork,
Violin,Drums
Peach,Apple
Fox,Rabbit
Police,Criminal
Simpson,Flanders
Donut,Croissant
Newspaper,FoxNews
Mountains,Flatland
Peanut,Walnut
Light bulb,Torch
Jedi,Sith
Chili,Milk
Sombrero,Beanie
Cloverleaf,Badluck
Button,Zipper
Cheese,Tofu
Chewbacca,Yoda
Revolver,Knife
Doctor,Hangman
Strawberry,Raspberry
Nuclear power,Solar
Lottery,Stealing
Cemetery,Hospital
Cupid,Venus
Umbrella,Parasol
Jump,Fall
Root,Crown
Treasure,Worthless
Pilot,Passenger
Mickey,Minnie
Sewerage,Pest
Galaxy,Iphone
Moustache,Beard
Bubble,stream
Chain,
Strong,
Cookie,Coffee
Croissant,Cronut
Spirit,Ghost
Straw,
Nail,
Potter,Voldemort
Darwin,Creation
Tomato,orange
Parachute,Crash
Cannon,Missile
Binoculars,eyesight
Fata morgana,Oasis
Ramses,Cleopatra
Fire,Water
Intersection,Union
Princess,Prince
Spaceship,Rocket
Bowling,Ninepins
Churchill,Hitler
Aries,Zodiac
Spy,Bond
Olympics,Paralympics
Climbing,Falling
Lawyer,Judge
Tolkien,Martin
River,Sea
Carpet,Floor
Pony,Horse
Crown,Hat
New,
Tarantino,Bay
Heino,JÃ¼rgens
Ninja,tank
Duvet,Pillow
Hunter,Pray
Vegetables,Meat
Cave,House
Hans,Heidi
Casino,Church
Candy,Vegetables
Fountain,Desert
Light,
Sofa,Armchair
Mozart,Bach
Ring,square
Pizza,Burger
Picture,Sound
Fire department,Police
Glass,Sand
Meatball,Tofu
Greece,Troy
Tradition,Modern
Snake,Bird
Trophy,Looser
Picasso,Warhol
Clock,discontinuous
Pyre,Funeral
Wizard,Muggel
Hockey,Football
Banana,Orange
Helene,Heinrich
Caesar,Brutus
Noodle,Potato
Hat,Beanie
Dentist,Docter
Wheat,Maize
Mussel,univalve
Shakespeare,Goethe
Giant,Dwarf
Foam,absorb
Cellar,Attic
Knives,Guns
Pillows,Duvet
Armstrong,Aldrin
Sword,Bow
Flight,Drive
Ticket,Receipt
Penguin,Eagle
Cell,Phone
Gandhi,British
Oasis,Desert
Crocodile,Alligator
Jewellery,artifact
Subway,Teleferic
Glasses,Monocle
Falco,NENA
Jackson,Prince
Cigarette,Cigar
Bracelet,Ring
Weather forecast,News
Tower,Bunker
Tattoo,Airbrush
Spielberg,Bay
Apple,Samsung
Mermaid,Siren
Boxes,Bags
Dwarf,Giant
Circus,organization
Elvis,Queen
Lawn mower,Sheep
Stone,Sand
Train,Plane
Sardine,Anchovy
Piece,
Cleopatra,Cesar
Window,Wall
Pomegranate,Apple
Filling,Cover
Brush,Hairdryer
Pig,overeater
Avicii,Eminem
Slipper,Boots
Sheet,Book
Puma,Cat
Revolution,Evolution
Sahara,Jungle
Knight,Peasent
Peace,
Flower,Stone
Switzerland,Austria
Calendar,Clock
Schnitzel,Cordon-Bleu
Canada,Australia
Zoo,Wild
Whistle,Rida
Book,Movie